PS,,SS,
x [m],y [m],x [m],y [m]
0.02740543,-0.00178973,0.02736983,0.00372251
0.02745236,-0.00182329,0.02741955,0.00367897
0.02749924,-0.00185693,0.02746919,0.00363534
0.02754606,-0.00189063,0.02751876,0.00359162
0.02759284,-0.00192439,0.02756826,0.00354783
0.02763958,-0.00195823,0.02761768,0.00350394
0.02768626,-0.00199213,0.02766703,0.00345998
0.02773290,-0.00202609,0.02771630,0.00341594
0.02777949,-0.00206012,0.02776551,0.00337181
0.02782603,-0.00209421,0.02781464,0.00332761
0.02787253,-0.00212837,0.02786370,0.00328332
0.02791898,-0.00216259,0.02791269,0.00323896
0.02796538,-0.00219688,0.02796161,0.00319452
0.02801173,-0.00223123,0.02801046,0.00315000
0.02805804,-0.00226564,0.02805924,0.00310540
0.02810430,-0.00230012,0.02810795,0.00306073
0.02815051,-0.00233466,0.02815659,0.00301598
0.02819668,-0.00236926,0.02820516,0.00297116
0.02824280,-0.00240392,0.02825366,0.00292627
0.02828888,-0.00243865,0.02830209,0.00288130
0.02833490,-0.00247343,0.02835046,0.00283626
0.02838089,-0.00250828,0.02839876,0.00279114
0.02842682,-0.00254319,0.02844699,0.00274596
0.02847271,-0.00257815,0.02849516,0.00270070
0.02851856,-0.00261318,0.02854326,0.00265537
0.02856436,-0.00264827,0.02859129,0.00260997
0.02861011,-0.00268342,0.02863926,0.00256451
0.02865582,-0.00271862,0.02868716,0.00251897
0.02870148,-0.00275389,0.02873500,0.00247337
0.02874710,-0.00278921,0.02878277,0.00242770
0.02879267,-0.00282459,0.02883048,0.00238196
0.02883820,-0.00286003,0.02887813,0.00233616
0.02888368,-0.00289552,0.02892571,0.00229029
0.02892912,-0.00293108,0.02897323,0.00224436
0.02897451,-0.00296669,0.02902069,0.00219836
0.02901986,-0.00300235,0.02906809,0.00215230
0.02906516,-0.00303808,0.02911542,0.00210617
0.02911042,-0.00307386,0.02916269,0.00205998
0.02915564,-0.00310969,0.02920991,0.00201373
0.02920081,-0.00314558,0.02925706,0.00196742
0.02924594,-0.00318153,0.02930415,0.00192105
0.02929102,-0.00321753,0.02935118,0.00187462
0.02933606,-0.00325358,0.02939816,0.00182813
0.02938106,-0.00328969,0.02944507,0.00178157
0.02942602,-0.00332585,0.02949193,0.00173496
0.02947093,-0.00336207,0.02953873,0.00168830
0.02951580,-0.00339834,0.02958547,0.00164157
0.02956062,-0.00343466,0.02963216,0.00159479
0.02960541,-0.00347103,0.02967878,0.00154795
0.02965015,-0.00350746,0.02972536,0.00150105
0.02969484,-0.00354394,0.02977187,0.00145410
0.02973950,-0.00358047,0.02981833,0.00140710
0.02978411,-0.00361705,0.02986474,0.00136004
0.02982869,-0.00365368,0.02991109,0.00131292
0.02987322,-0.00369037,0.02995738,0.00126575
0.02991771,-0.00372710,0.03000363,0.00121853
0.02996215,-0.00376389,0.03004981,0.00117126
0.03000656,-0.00380072,0.03009595,0.00112394
0.03005092,-0.00383760,0.03014203,0.00107656
0.03009525,-0.00387454,0.03018806,0.00102913
0.03013953,-0.00391152,0.03023404,0.00098166
0.03018377,-0.00394855,0.03027997,0.00093413
0.03022797,-0.00398563,0.03032584,0.00088655
0.03027213,-0.00402276,0.03037167,0.00083893
